日期Date,指数代码 Index Code,指数名称 Index Name,指数英文名称Index Name(Eng),成份券代码Constituent Code,成份券名称Constituent Name,成份券英文名称Constituent Name(Eng),交易所Exchange,交易所英文名称Exchange(Eng)
20260605,000852,中证1000,CSI 1000,000012,南  玻A,CSG Holding Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
20260605,000852,中证1000,CSI 1000,000019,深粮控股,"SHENZHEN CEREALS HOLDINGS CO.,LTD.",深圳证券交易所,Shenzhen Stock Exchange
20260605,000852,中证1000,CSI 1000,000028,国药一致,China National Accord Medicines Corporation Ltd.,深圳证券交易所,Shenzhen Stock Exchange
20260605,000852,中证1000,CSI 1000,000029,深深房A,"Shenzhen Special Economic Zone Real Estate and Properties (Group) Co.,Ltd.",深圳证券交易所,Shenzhen Stock Exchange
20260605,000852,中证1000,CSI 1000,000030,富奥股份,FAWER Automotive Parts Company,深圳证券交易所,Shenzhen Stock Exchange
20260605,000852,中证1000,CSI 1000,000035,中国天楹,China Tianying Inc.,深圳证券交易所,Shenzhen Stock Exchange
20260605,000852,中证1000,CSI 1000,000048,京基智农,"SHENZHEN KINGKEY SMART AGRICULTURE TIMES CO.,LTD",深圳证券交易所,Shenzhen Stock Exchange
20260605,000852,中证1000,CSI 1000,000049,德赛电池,Shenzhen Desay Battery Technology Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
20260605,000852,中证1000,CSI 1000,000058,深赛格,Shenzhen SEG Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
20260605,000852,中证1000,CSI 1000,000059,华锦股份,"North Huajin Chemical Industries Co., Ltd",深圳证券交易所,Shenzhen Stock Exchange
20260605,000852,中证1000,CSI 1000,000061,农 产 品,Shenzhen Agricultural Products Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
20260605,000852,中证1000,CSI 1000,000065,北方国际,Norinco International Cooperation Ltd,深圳证券交易所,Shenzhen Stock Exchange
20260605,000852,中证1000,CSI 1000,000089,深圳机场,Shenzhen Airport Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
20260605,000852,中证1000,CSI 1000,000099,中信海直,Citic Offshore Helicopter Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
20260605,000852,中证1000,CSI 1000,000156,华数传媒,"WASU MEDIA HOLDING CO., LTD",深圳证券交易所,Shenzhen Stock Exchange
20260605,000852,中证1000,CSI 1000,000403,派林生物,"Pacific Shuanglin Bio-pharmacy Co., LTD",深圳证券交易所,Shenzhen Stock Exchange
20260605,000852,中证1000,CSI 1000,000420,吉林化纤,Jilin Chemical Fibre Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
20260605,000852,中证1000,CSI 1000,000422,湖北宜化,Hubei Yihua Chemical Industry Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
20260605,000852,中证1000,CSI 1000,000498,山东路桥,"SHANDONG HI-SPEED ROAD&BRIDGE CO., LTD.",深圳证券交易所,Shenzhen Stock Exchange
20260605,000852,中证1000,CSI 1000,000503,国新健康,"China Reform Health Management and Services Group Co., Ltd.",深圳证券交易所,Shenzhen Stock Exchange
20260605,000852,中证1000,CSI 1000,000543,皖能电力,An Hui Wenergy Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
20260605,000852,中证1000,CSI 1000,000550,江铃汽车,Jiangling Motors Corp Ltd,深圳证券交易所,Shenzhen Stock Exchange
20260605,000852,中证1000,CSI 1000,000552,甘肃能化,"GANSU ENERGY CHEMICAL CO.,LTD",深圳证券交易所,Shenzhen Stock Exchange
20260605,000852,中证1000,CSI 1000,000555,神州信息,Digital China Information Service Group Company Ltd.,深圳证券交易所,Shenzhen Stock Exchange
20260605,000852,中证1000,CSI 1000,000557,西部创业,"Ningxia Western Venture Industrial Co., Ltd.",深圳证券交易所,Shenzhen Stock Exchange
20260605,000852,中证1000,CSI 1000,000567,海德股份,"HAINAN HAIDE CAPITAL MANAGEMENT CO., LTD.",深圳证券交易所,Shenzhen Stock Exchange
20260605,000852,中证1000,CSI 1000,000581,威孚高科,Weifu High-Technology Group Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
20260605,000852,中证1000,CSI 1000,000589,贵州轮胎,Gui Zhou Tyre Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
